,nome,cpf,idade,data,endereco,estado,pais
60,Mariane Cavalcanti,584.206.397-29,63,24/12/1961,"Feira Maria Sophia Novais, 40
Novo Ouro Preto
83803-776 Vieira de Vasconcelos / PB",Rio Grande do Norte,Brasil
61,Luana Dias,152.793.460-80,30,06/05/1994,"Lago Pinto, 78
Mangabeiras
95333-293 da Conceição do Sul / PR",Mato Grosso do Sul,Brasil
62,Francisco Novaes,240.573.961-52,25,21/05/1999,"Área de Almeida, 46
Custodinha
82058034 Marques / MT",Piauí,Brasil
63,Davi Miguel da Luz,345.978.162-91,52,26/05/1972,"Via Silva, 8
Beira Linha
64891-339 Duarte Verde / PA",Pará,Brasil
64,Letícia da Luz,450.673.281-26,42,04/10/1982,"Pátio de Santos
Vila Real 2ª Seção
55239851 Martins / SC",Mato Grosso do Sul,Brasil
65,Marcos Vinicius Cirino,213.850.746-71,48,16/09/1976,"Área Fernandes, 794
Santa Sofia
69673-080 Cunha / MA",Paraíba,Brasil
66,Sr. Lorenzo Sales,352.019.674-34,52,18/09/1972,"Passarela Barbosa, 333
Flavio De Oliveira
14463-996 Machado da Mata / RO",Distrito Federal,Brasil
67,Hadassa Silveira,721.689.430-87,30,25/08/1994,"Chácara Ana Lívia da Cunha, 88
Solar Do Barreiro
85499462 Ribeiro Paulista / MG",Bahia,Brasil
68,Thomas Correia,587.291.643-46,50,18/12/1974,"Vila de Cardoso, 97
Renascença
41260-318 Cardoso de Cunha / PA",Piauí,Brasil
69,Thiago Pacheco,259.136.407-99,29,12/04/1995,"Trecho Cirino, 44
Nova Cachoeirinha
42353770 Cavalcante / DF",Piauí,Brasil
70,Davi Lucca Casa Grande,678.051.943-00,55,23/07/1969,"Praia Kamilly Gonçalves, 49
Vila Califórnia
56958852 da Cruz do Amparo / AM",Paraná,Brasil
71,Antonella Pacheco,076.835.942-29,55,14/04/1969,"Vila de Andrade, 773
Luxemburgo
78888016 Marques / AL",Pará,Brasil
72,Sra. Alícia Duarte,831.976.054-20,25,19/04/1999,"Pátio Novais
São Pedro
22653749 Vargas / AM",Tocantins,Brasil
73,Eloá da Mota,276.539.814-37,55,01/04/1970,"Praia Yasmin Nascimento
Solimoes
68364-018 da Mota da Prata / MG",Pernambuco,Brasil
74,Sr. Juan das Neves,205.937.861-30,50,15/01/1975,"Ladeira de Moraes, 6
Vila Antena
48862-672 Carvalho / RJ",Mato Grosso,Brasil
75,Luísa Pimenta,846.091.523-98,68,04/01/1957,"Loteamento de Abreu, 85
Xangri-Lá
79090310 Cavalcante das Pedras / RS",Maranhão,Brasil
76,Francisco Sampaio,714.329.056-43,24,12/06/2000,"Pátio de Mendonça, 9
Jardim Leblon
64416231 Castro do Oeste / AL",Rio Grande do Norte,Brasil
77,Leandro Casa Grande,065.139.748-01,45,23/10/1979,"Conjunto da Paz, 17
Aguas Claras
44259863 Vasconcelos da Serra / ES",Distrito Federal,Brasil
78,Dr. Cauã Souza,342.897.105-14,67,21/11/1957,"Passarela Leão
Cachoeirinha
08270449 Moreira / AC",Distrito Federal,Brasil
79,Raquel Fernandes,764.310.852-80,32,03/04/1992,"Jardim de Sá, 2
Coração Eucarístico
61166171 Montenegro / AL",Ceará,Brasil
80,Marina Farias,425.087.931-32,25,21/01/2000,"Largo de Fonseca, 685
Flavio De Oliveira
49055125 da Paz / RS",Distrito Federal,Brasil
81,Gael Abreu,286.340.157-26,62,07/01/1963,"Lago de Freitas, 135
Vila Maloca
62618784 Sales / PR",Mato Grosso,Brasil
82,Luiza Melo,689.715.243-91,36,31/07/1988,"Praia de Carvalho, 49
Dom Bosco
35752-706 da Luz da Mata / RN",Mato Grosso do Sul,Brasil
83,Stella Sousa,852.107.496-49,58,09/12/1966,"Rodovia de Martins, 9
Trevo
83690103 Garcia / RN",Santa Catarina,Brasil
84,Dr. Luan da Cruz,071.385.924-50,61,13/01/1964,"Estrada de Barbosa, 81
Buraco Quente
88814-297 Fonseca / PA",Paraíba,Brasil
85,Thiago Ferreira,871.923.056-77,25,05/12/1999,"Área de Albuquerque, 25
Alta Tensão 1ª Seção
87499560 Gonçalves Paulista / PI",Mato Grosso do Sul,Brasil
86,Raul Pinto,485.692.370-65,36,20/06/1988,"Recanto José Pedro Camargo
Conjunto Bonsucesso
08770716 da Luz dos Dourados / RS",Rondônia,Brasil
87,Maitê Ribeiro,417.680.532-35,46,29/05/1978,"Recanto da Cruz, 67
Palmares
12802731 Silveira de Minas / SE",Pernambuco,Brasil
88,Mariana Mendonça,401.963.782-22,41,06/09/1983,"Chácara Maria Alice Duarte, 131
Vila Nova
10834-514 Costa Alegre / PI",Maranhão,Brasil
89,Anthony Araújo,308.641.795-10,27,22/01/1998,"Aeroporto Igor Campos, 938
Suzana
00469-901 Monteiro / RO",Pernambuco,Brasil
90,Srta. Larissa Pinto,365.210.497-80,37,17/12/1987,"Recanto Maria Fernanda Rocha, 85
Confisco
23776-135 Marques / SP",Piauí,Brasil
91,Dr. Igor Moraes,251.764.809-30,60,31/01/1965,"Travessa Oliver Santos, 94
Ouro Preto
70687547 Caldeira / CE",Amapá,Brasil
92,Kevin das Neves,532.078.416-35,41,10/05/1983,"Conjunto Ana Julia Rios, 4
Bela Vitoria
76327-419 Gomes da Praia / CE",Distrito Federal,Brasil
93,Vitória da Costa,312.047.586-62,53,07/12/1971,"Rodovia Pedro Pimenta, 91
Buritis
30856420 Sales / PE",São Paulo,Brasil
94,Maysa Sousa,730.825.964-10,44,05/11/1980,"Condomínio Lima, 15
Manacas
68081-322 Fonseca dos Dourados / MS",Rio Grande do Sul,Brasil
95,Oliver Rezende,940.163.587-01,55,30/07/1969,"Fazenda de Macedo, 6
Mineirão
56723-119 Moreira / SE",Santa Catarina,Brasil
96,Daniel Rios,507.821.649-94,38,30/03/1987,"Morro Anthony Gabriel da Rocha
Engenho Nogueira
74413-086 Monteiro / PB",Paraná,Brasil
97,Juliana Jesus,679.012.845-01,34,20/08/1990,"Condomínio de Montenegro, 50
Araguaia
12929-692 Peixoto Paulista / SC",Rondônia,Brasil
98,João Lucas da Luz,428.035.679-38,38,24/02/1987,"Colônia Gabriel Montenegro
Vila Mangueiras
87830-323 Barros / PR",Pará,Brasil
99,Olívia Lopes,705.819.426-20,29,02/07/1995,"Rodovia de Macedo, 65
São Lucas
88113303 Caldeira das Flores / MA",Bahia,Brasil
100,Caroline Marques,352.819.604-15,43,09/04/1981,"Alameda Leonardo Monteiro, 58
Varzea Da Palma
12446829 Macedo / MT",Alagoas,Brasil
101,João Felipe Costela,390.852.146-70,19,16/12/2005,"Colônia Lopes, 443
Renascença
71379-703 Nascimento / SE",Mato Grosso,Brasil
102,Eduardo Pimenta,075.129.384-97,31,12/04/1993,"Esplanada Sales, 45
Jardim Atlântico
95797836 Aragão / RS",São Paulo,Brasil
103,Ana Vitória Siqueira,586.034.791-00,29,14/10/1995,"Travessa Luiz Felipe Peixoto, 69
Graça
27095-183 Rodrigues do Amparo / SE",Maranhão,Brasil
104,Caroline Marques,125.608.497-20,64,11/07/1960,"Passarela de Costa, 624
Novo Ouro Preto
51573-266 Pacheco de Lima / PE",Ceará,Brasil
105,Larissa Camargo,936.140.725-25,36,05/12/1988,"Recanto de Vargas, 42
Vila Do Pombal
12452487 Aragão da Prata / CE",Tocantins,Brasil
106,Ana Clara Aparecida,839.510.462-60,38,03/11/1986,"Condomínio Cunha
Camponesa 2ª Seção
75837214 Moura / SE",Ceará,Brasil
107,José Miguel Sá,715.348.906-10,45,19/05/1979,"Condomínio Moreira, 4
Campo Alegre
03875-929 Mendonça / PR",Pernambuco,Brasil
108,Maria Sophia Novais,529.670.183-68,40,14/07/1984,"Campo Albuquerque
Mangueiras
52396-321 Camargo / ES",Amazonas,Brasil
109,Camila Guerra,839.604.721-96,45,29/09/1979,"Recanto de Dias, 117
Bacurau
05666-821 Cavalcante / AC",Roraima,Brasil
110,Liz da Cunha,875.126.940-67,61,02/02/1964,"Quadra Clarice Silva, 738
Mangabeiras
82825-837 Viana / CE",Pará,Brasil
111,Calebe Jesus,589.607.341-01,21,09/03/2004,"Viela de Andrade, 18
Casa Branca
51204-821 Moura / MG",Mato Grosso,Brasil
112,Gael Correia,250.678.149-85,28,16/12/1996,"Travessa de Melo, 3
Santa Cecilia
30035-776 Nogueira das Pedras / PB",Rio de Janeiro,Brasil
113,Enzo Gabriel Câmara,519.708.236-40,42,24/06/1982,"Área Valentina Moreira, 124
Dona Clara
12761-953 Correia do Galho / SC",Mato Grosso do Sul,Brasil
114,Rafaela Cirino,729.580.163-40,56,11/12/1968,"Lagoa Oliveira, 51
Lagoinha Leblon
28895-407 Silveira do Sul / DF",Paraíba,Brasil
115,Caleb Almeida,290.843.517-97,63,02/07/1961,"Vila José Miguel Cavalcanti, 26
Monte São José
35554-116 Costa dos Dourados / GO",Pará,Brasil
116,Dra. Maria Fernanda Montenegro,154.086.923-70,59,10/06/1965,"Estrada Carvalho, 61
Das Industrias I
57823-018 Costa / AP",Paraíba,Brasil
117,Mirella Cassiano,601.583.924-42,51,10/07/1973,"Lagoa Henrique Correia, 634
Conjunto Celso Machado
40033-089 Teixeira / CE",Rondônia,Brasil
118,Sra. Cecilia Porto,174.092.856-30,44,10/11/1980,"Fazenda Daniela Ramos, 1
Alpes
32036285 Nogueira de Vargas / PA",Amapá,Brasil
119,Eduardo Siqueira,561.724.803-08,19,09/03/2006,"Via Eduarda Moura, 457
Universitário
05629926 Rodrigues / MA",Espírito Santo,Brasil
120,Agatha da Conceição,510.968.243-70,50,09/06/1974,"Recanto João Pedro Sales, 2
Caiçaras
04154-618 Sá / PB",Rio Grande do Norte,Brasil
121,André Freitas,528.064.197-94,40,26/02/1985,"Jardim Câmara, 9
Estrela Do Oriente
42311-886 Ramos Grande / RR",Distrito Federal,Brasil
122,Dr. Henrique Freitas,950.247.386-83,21,06/06/2003,"Núcleo Brito
Nova America
11960150 Teixeira da Mata / GO",Alagoas,Brasil
123,Liz Guerra,502.749.168-94,29,19/02/1996,"Vale Agatha Andrade, 34
Boa Esperança
64055-044 Moura / PI",Paraíba,Brasil
124,Luiz Miguel Duarte,897.635.012-02,29,29/03/1996,"Rua de Silveira, 77
Santa Terezinha
35183-168 Garcia / TO",Maranhão,Brasil
125,Caroline Moura,387.496.051-00,53,25/05/1971,"Condomínio Gael Nogueira, 4
Calafate
03906-968 Moreira Paulista / DF",Paraná,Brasil
126,Maya Castro,480.935.621-33,40,05/12/1984,"Avenida de Pereira, 5
Vila Nova Gameleira 1ª Seção
77600185 Fernandes Verde / MA",Mato Grosso,Brasil
127,Francisco Gomes,972.513.068-59,51,29/06/1973,"Trecho de Sales
São Tomaz
76135635 Alves do Campo / MG",Amapá,Brasil
128,Srta. Lívia Jesus,490.326.751-25,54,10/06/1970,"Passarela de Nogueira, 29
Flavio Marques Lisboa
73842528 Macedo / MA",Paraíba,Brasil
129,Sra. Lorena Vargas,037.594.126-61,58,29/06/1966,"Parque das Neves, 3
Eymard
97335-628 Castro / RN",Amapá,Brasil
130,Nicole Mendes,571.498.230-41,40,19/07/1984,"Alameda de Moreira
Santa Maria
45642-573 Novaes / TO",Amapá,Brasil
131,Henrique Cirino,607.839.412-69,51,26/03/1974,"Lago de Moura, 7
Serrano
48229-415 Duarte / TO",Rondônia,Brasil
132,Pietro Souza,986.317.542-00,22,19/10/2002,"Lagoa Vargas, 68
Vila Dos Anjos
79753-597 Guerra da Serra / MT",Paraíba,Brasil
133,Maria Clara Marques,536.248.701-90,31,19/03/1994,"Fazenda Davi Lucas Fonseca, 1
Custodinha
33143212 Monteiro Verde / AP",São Paulo,Brasil
134,Ana Laura Viana,536.428.791-28,22,17/02/2003,"Recanto de Albuquerque, 71
Vila São Francisco
35205-844 Pimenta de Moraes / RR",Rio de Janeiro,Brasil
135,João Guilherme Castro,972.563.048-38,55,12/05/1969,"Morro Cassiano, 77
São Sebastião
76758860 Casa Grande do Amparo / TO",Pernambuco,Brasil
136,Olívia Pires,537.924.068-29,54,27/11/1970,"Loteamento Jesus, 84
Nova Floresta
82838246 Aragão / GO",Goiás,Brasil
137,Valentina Dias,653.927.104-25,42,26/10/1982,"Via Fonseca, 462
Tres Marias
23082-280 Montenegro dos Dourados / AL",Acre,Brasil
138,Maria Cecília Cassiano,517.086.349-75,34,09/06/1990,"Vila Albuquerque, 3
Juliana
08629325 Freitas das Flores / MG",Tocantins,Brasil
139,Sra. Raquel das Neves,178.290.654-11,31,03/04/1993,"Largo Miguel Garcia
Barão Homem De Melo 1ª Seção
96806-275 Cavalcanti do Oeste / SP",Paraíba,Brasil
140,Gael Nunes,641.920.873-40,60,11/05/1964,"Condomínio Mariah Araújo
Virgínia
53474496 Araújo / SP",Santa Catarina,Brasil
141,Enzo Gabriel Jesus,367.259.480-65,37,19/02/1988,"Feira de Marques, 69
Santo Antônio
98057707 Lopes / ES",Mato Grosso do Sul,Brasil
142,Elisa Macedo,789.450.632-00,68,27/12/1956,"Alameda Daniel Freitas, 76
Vila Real 1ª Seção
94021043 da Mota / SC",Roraima,Brasil
143,Maya Correia,398.457.612-91,45,03/06/1979,"Conjunto de Peixoto, 85
Leticia
77085595 Oliveira do Galho / SP",São Paulo,Brasil
144,Sra. Maria Aparecida,241.075.389-23,43,29/08/1981,"Praia Cavalcante, 7
Cinquentenário
44143-641 Rios de Pereira / PB",Rio de Janeiro,Brasil
145,Davi Lucca Guerra,501.427.369-61,60,22/12/1964,"Via Maitê Silveira, 80
Barão Homem De Melo 3ª Seção
56950-731 Gomes de Costa / MT",Maranhão,Brasil
146,Srta. Liz Pires,418.306.752-90,24,08/12/2000,"Passarela Isaac da Conceição, 89
Conjunto Paulo Vi
31028-001 Casa Grande / RR",Minas Gerais,Brasil
147,Enzo Machado,387.095.642-92,38,12/03/1987,"Alameda Valentina da Rosa, 10
Conjunto Paulo Vi
71158-065 Fogaça do Oeste / GO",Bahia,Brasil
148,Sra. Rafaela Pires,786.953.012-30,52,05/11/1972,"Vereda Vitor Albuquerque, 44
Maria Goretti
16726289 Marques / PA",São Paulo,Brasil
149,Maria Helena Albuquerque,452.903.781-97,25,30/08/1999,"Rua de Campos, 7
Vila Dos Anjos
29588-927 Araújo / DF",Piauí,Brasil
150,Anthony Melo,052.731.648-26,40,27/02/1985,"Rua Carolina Machado, 7
Aarão Reis
88199-683 Moraes de Goiás / MG",Santa Catarina,Brasil
151,Kevin Macedo,846.102.359-51,66,24/01/1959,"Avenida Benicio Borges, 48
Beira Linha
11337984 da Paz / TO",Acre,Brasil
152,Diogo Macedo,319.682.475-64,31,11/04/1993,"Colônia Melo, 55
Trevo
93910-059 Monteiro / TO",Espírito Santo,Brasil
153,João Gabriel da Rosa,390.762.458-00,30,04/10/1994,"Aeroporto Fernandes, 41
Vila Nova Cachoeirinha 1ª Seção
61014-833 Novais dos Dourados / PI",Distrito Federal,Brasil
154,Sra. Ana Liz Casa Grande,976.230.485-38,50,08/01/1975,"Pátio Oliveira, 33
São Marcos
41796860 Cardoso / PE",Rio Grande do Sul,Brasil
155,Calebe Siqueira,502.849.613-70,26,08/10/1998,"Ladeira de Silva
Vitoria
20512321 Borges / SP",Paraná,Brasil
156,Marcelo Vasconcelos,571.684.390-57,59,01/01/1966,"Passarela Cavalcanti, 92
Vila Santa Rosa
62165-996 Viana de Pastor / AL",Mato Grosso,Brasil
157,Hadassa Lopes,496.013.572-70,37,21/01/1988,"Via de Peixoto, 86
Boa Vista
18040-960 Pimenta das Flores / RS",Mato Grosso,Brasil
158,Gael Mendes,409.378.156-75,58,21/08/1966,"Campo Nascimento, 67
Dom Cabral
17775455 Aragão / TO",Piauí,Brasil
159,Rael Costela,295.804.713-04,42,06/10/1982,"Rodovia Isabela Gomes
Comiteco
37762-971 Rocha / AM",Amapá,Brasil
160,Sarah Sousa,730.856.419-39,43,17/11/1981,"Largo Fonseca, 9
Vale Do Jatoba
97342623 Gomes / MA",Ceará,Brasil
161,Sara Aragão,438.726.905-74,61,17/08/1963,"Quadra Natália Leão, 27
Vitoria Da Conquista
09241-072 Leão / PA",Pernambuco,Brasil
162,Ana Moraes,956.271.340-70,63,15/11/1961,"Chácara de Rezende, 73
Barão Homem De Melo 3ª Seção
18947159 Aragão / RJ",Pará,Brasil
163,Carolina Duarte,162.780.954-67,20,30/11/2004,"Lagoa Montenegro, 63
Conjunto Paulo Vi
60163-412 Viana / RS",Minas Gerais,Brasil
164,Marcos Vinicius Costela,824.036.179-03,62,26/12/1962,"Pátio de Vieira, 60
Camponesa 1ª Seção
96145-988 Ferreira de das Neves / RS",Santa Catarina,Brasil
165,Ian da Mata,983.401.276-40,54,15/09/1970,"Fazenda de Cunha, 22
Manacas
28949-385 Carvalho de Goiás / GO",Tocantins,Brasil
166,Luiz Felipe Rodrigues,785.962.403-65,33,25/04/1991,"Vila Marcos Vinicius Mendonça, 53
Camponesa 2ª Seção
53743-271 Correia / RO",Distrito Federal,Brasil
167,Sra. Maria Laura Farias,810.795.432-79,62,03/11/1962,"Avenida de Rocha, 11
Lagoinha Leblon
54080147 Cavalcanti / PI",Piauí,Brasil
168,Ian Sales,204.519.378-05,59,27/03/1966,"Estrada da Conceição, 71
Vila Da Amizade
11812972 Sampaio / MG",Goiás,Brasil
169,Antônio da Rosa,697.342.508-92,20,05/07/2004,"Viaduto da Luz, 595
Bela Vitoria
95322-065 Vargas / PA",Mato Grosso,Brasil
170,Lucca da Luz,948.056.231-60,45,25/05/1979,"Passarela de Mendonça, 394
São João
13329-102 da Luz do Campo / SE",Tocantins,Brasil
171,Allana Pereira,743.056.128-44,64,05/11/1960,"Trevo de Monteiro, 90
Marieta 1ª Seção
27686-342 Araújo do Galho / SE",Sergipe,Brasil
172,Rebeca Oliveira,857.931.240-04,37,09/10/1987,"Ladeira Caio da Rosa
Vila Antena Montanhês
21771-264 Monteiro do Amparo / SP",Rio de Janeiro,Brasil
173,João Guilherme Silveira,894.501.726-76,48,11/10/1976,"Fazenda de Rezende, 733
Vila Inestan
14178667 da Luz / AP",Maranhão,Brasil
